route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
Boat-F1-7-1,Boat-F1,1,Hingham - Long Wharf via Georges Island,,2,300021070,Boat-F1-0900-Hingham-BF2H-02-Saturday-Summer-24,0
Boat-F1-8-1,Boat-F1,1,Hingham - Long Wharf via Georges Island & Logan Airport,Summer weekday middays only,2,300021080,Boat-F1-1000-Hingham-BF2H-01-Weekday-Summer-24,0
Boat-EastBoston-0-0,Boat-EastBoston,0,Long Wharf - Lewis Mall Wharf,,1,300050000,Boat-EastBoston-0715-Long-BEB-01-Weekday-Summer-24,0
Boat-EastBoston-0-1,Boat-EastBoston,1,Lewis Mall Wharf - Long Wharf,,1,300051000,Boat-EastBoston-0700-Lewis-BEB-01-Weekday-Summer-24,0
Boat-Lynn-1-0,Boat-Lynn,0,Long Wharf - Blossom Street Pier,,1,300070010,Boat-Lynn-0645-Long-BLY-01-Weekday-Summer-24,0
Boat-Lynn-1-1,Boat-Lynn,1,Blossom Street Pier - Long Wharf,,1,300071010,Boat-Lynn-0600-Blossom-BLY-01-Weekday-Summer-24,0
Boat-F6-2-0,Boat-F6,0,Central Wharf - Winthrop Landing via Seaport/Fan Pier & Quincy,,1,300090020,Boat-F6-1630-Aquarium-BWN-01-Weekday-Summer-24,0
Boat-F6-6-0,Boat-F6,0,Central Wharf - Winthrop Landing,,2,300090060,Boat-F6-0730-Aquarium-BWN-01-Weekday-Summer-24,0
Boat-F6-8-0,Boat-F6,0,Central Wharf - Logan Airport,,2,300090080,Boat-F6-0850-Aquarium-BWN-01-Weekday-Summer-24,0
Boat-F6-9-0,Boat-F6,0,Central Wharf - Winthrop Landing via Seaport/Fan Pier & Logan Airport & Quincy,,2,300090090,Boat-F6-1745-Aquarium-BWN-01-Weekday-Summer-24,0
Boat-F6-0-1,Boat-F6,1,Winthrop Landing - Central Wharf via Quincy & Logan Airport & Seaport/Fan Pier,,1,300091000,Boat-F6-0630-Winthrop-BWN-01-Weekday-Summer-24,0
Boat-F6-1-1,Boat-F6,1,Winthrop Landing - Central Wharf via Quincy & Logan Airport,,1,300091010,Boat-F6-1530-Winthrop-BWN-01-Weekday-Summer-24,0
Boat-F6-6-1,Boat-F6,1,Winthrop Landing - Central Wharf,,2,300091060,Boat-F6-1720-Winthrop-BWN-01-Weekday-Summer-24,0
Boat-F6-7-1,Boat-F6,1,Winthrop Landing - Quincy,,2,300091070,Boat-F6-1840-Winthrop-BWN-01-Weekday-Summer-24,0
Boat-F6-8-1,Boat-F6,1,Winthrop Landing - Central Wharf via Quincy & Seaport/Fan Pier,,2,300091080,Boat-F6-0800-Winthrop-BWN-01-Weekday-Summer-24,0
747-_-0,747,0,Ruggles Station - Sullivan Square Station,Weekdays only,1,400200000,63076272,0
747-_-1,747,1,Sullivan Square Station - Ruggles Station,Weekdays only,1,400201000,63076276,0
708-1-0,708,0,Andrew Station - Ave Louis Pasteur,Weekdays only,1,400300000,63070545,0
708-_-0,708,0,Andrew Station - Brookline Ave,Weekdays only,1,400300030,63070514,0
708-_-1,708,1,Brookline Ave - Andrew Station,Weekdays only,1,400301000,63070816,0
708-1-1,708,1,Ave Louis Pasteur - Andrew Station,Weekdays only,1,400301030,63071813,0
1-_-0,1,0,Nubian Station - Harvard Square,,1,500100000,63075073,0
1-_-1,1,1,Harvard Square - Nubian Station,,1,500101000,63075526,0
4-4-0,4,0,Marine Park - North Station (Detour),Weekdays only,1,500400000,63076483,0
4-3-0,4,0,Marine Park - North Station via South Station (Detour),Weekdays only,1,500400020,63076294,0
4-3-1,4,1,North Station - Marine Park (Detour),Weekdays only,1,500401000,63076292,0
4-4-1,4,1,North Station - Marine Park via South Station (Detour),Weekdays only,1,500401020,63076481,0
7-1-0,7,0,Otis St & Summer St - City Point,,1,500700000,63071848,0
7-2-0,7,0,Otis St & Summer St - City Point via East 1st St,Weekdays only,2,500700040,63071847,0
7-1-1,7,1,City Point - Otis St & Summer St,,1,500701000,63070937,0
7-2-1,7,1,City Point - Otis St & Summer St via East 1st St,Weekdays only,2,500701040,63071065,0
8-9-0,8,0,Kenmore Station - Harbor Point via South Bay Center,,1,500800000,63073094,0
8-1-0,8,0,Kenmore Station - Harbor Point,,2,500800040,63073092,0
8-9-1,8,1,Harbor Point - Kenmore Station via South Bay Center,,1,500801000,63073083,0
8-1-1,8,1,Harbor Point - Kenmore Station,,2,500801040,63073080,0
9-_-0,9,0,Copley Station - City Point,,1,500900000,63070879,0
9-1-0,9,0,Copley Station - City Point via L St,Weekday mornings only,2,500900040,63070864,0
9-_-1,9,1,City Point - Copley Station,,1,500901000,63074909,0
10-9-0,10,0,Copley Square - City Point via South Bay Center,,1,501000000,63076503,0
10-5-0,10,0,Copley Station - City Point,Late nights only,3,501000040,63073089,0
10-9-1,10,1,City Point - Copley Square via South Bay Center,,1,501001000,63076502,0
11-3-0,11,0,Chauncy St & Summer St - City Point,,1,501100000,63070772,0
11-3-1,11,1,City Point - Chauncy St & Summer St,,1,501101000,63070940,0
14-_-0,14,0,Heath St - Roslindale Square,,1,501400000,63361908,0
14-_-1,14,1,Roslindale Square - Heath St,,1,501401000,63361907,0
15-_-0,15,0,Ruggles Station - Kane Square,Weekdays only,1,501500000,63076347,0
15-2-0,15,0,Ruggles Station - St Peter's Square,Weekday middays only,2,501500030,63072017,0
15-1-0,15,0,Ruggles Station - Fields Corner Station,,2,501500050,63072201,0
15-G-0,15,0,Haymarket - Mattapan via Nubian & Fields Corner (Merrimac Detour),Early mornings only,3,501500080,63071597,0
15-_-1,15,1,Kane Square - Ruggles Station,Weekdays only,1,501501000,63076346,0
15-2-1,15,1,St Peter's Square - Ruggles Station,Weekday middays only,2,501501030,63071899,0
15-1-1,15,1,Fields Corner Station - Ruggles Station,,2,501501050,63071449,0
15-4-1,15,1,Ashmont Station - Nubian Station,Early mornings only,3,501501080,63070587,0
15-G-1,15,1,Mattapan - Haymarket via Fields Corner & Nubian (Merrimac Detour),Early mornings only,3,501501110,63071829,0
16-9-0,16,0,Andrew Station - Forest Hills Station via South Bay Center,,1,501600000,63070510,0
16-8-0,16,0,Harbor Point - Forest Hills Station via South Bay Center,Weekdays only,2,501600040,63072321,0
16-5-0,16,0,McCormack Housing - Forest Hills via South Bay Center,,2,501600060,63071837,0
16-3-0,16,0,Andrew Station - Forest Hills Station,,3,501600090,63070586,0
16-9-1,16,1,Forest Hills Station - Andrew Station via South Bay Center,,2,501601000,63071376,0
16-3-1,16,1,Forest Hills Station - Andrew Station,,2,501601040,63071426,0
16-8-1,16,1,Forest Hills Station - Harbor Point via South Bay Center,Weekdays only,2,501601080,63071382,0
16-5-1,16,1,Forest Hills - McCormack Housing via South Bay Center,,2,501601100,63071387,0
17-_-0,17,0,Andrew Station - Fields Corner Station,,1,501700000,63070511,0
17-_-1,17,1,Fields Corner Station - Andrew Station,,1,501701000,63071430,0
18-1-0,18,0,Andrew Station - Ashmont Station,,1,501800000,63073434,0
18-1-1,18,1,Ashmont Station - Andrew Station,,1,501801000,63073429,0
19-3-0,19,0,Kenmore Station - Fields Corner Station,Weekdays only,1,501900000,63077157,0
19-_-0,19,0,Ruggles Station - Fields Corner Station,Weekdays only,2,501900030,63077265,0
19-3-1,19,1,Fields Corner Station - Kenmore Station,Weekdays only,1,501901000,63077156,0
19-_-1,19,1,Fields Corner Station - Ruggles Station,Weekdays only,2,501901030,63077161,0
21-_-0,21,0,Forest Hills Station - Ashmont Station,,1,502100000,63361383,0
21-_-1,21,1,Ashmont Station - Forest Hills Station,,1,502101000,63361375,0
22-_-0,22,0,Ruggles Station - Ashmont Station,,1,502200000,63076321,0
22-_-1,22,1,Ashmont Station - Ruggles Station,,1,502201000,63076322,0
23-_-0,23,0,Ruggles Station - Ashmont Station,,1,502300000,63076020,0
23-_-1,23,1,Ashmont Station - Ruggles Station,,1,502301000,63074609,0
24-2-0,24,0,Ashmont Station - Wakefield Ave & Truman Pkwy,,1,502400000,63360785,0
24-2-1,24,1,Wakefield Ave & Truman Pkwy - Ashmont Station,,1,502401000,63360786,0
26-1-0,26,0,Gallivan Blvd - Ashmont Station via Washington St,,1,502600000,63360926,0
26-1-1,26,1,Ashmont Station - Gallivan Blvd via Norfolk St,,1,502601000,63360930,0
28-_-0,28,0,Ruggles Station - Mattapan Station,,1,502800000,63480228,0
28-_-1,28,1,Mattapan Station - Ruggles Station,,1,502801000,63480227,0
28-2-1,28,1,Mattapan Station - Nubian Station,Early mornings only,3,502801040,63071825,0
29-1-0,29,0,Jackson Square Station - Mattapan Station via Franklin Field,Weekdays only,1,502900000,63360766,0
29-5-0,29,0,Jackson Square Station - Mattapan Station,,1,502900020,63360781,0
29-1-1,29,1,Mattapan Station - Jackson Square Station via Franklin Field,Weekdays only,1,502901000,63360758,0
29-5-1,29,1,Mattapan Station - Jackson Square Station,,1,502901020,63360772,0
30-2-0,30,0,Forest Hills Station - Mattapan Station,,1,503000000,63361389,0
30-2-1,30,1,Mattapan Station - Forest Hills Station,,1,503001000,63361419,0
31-_-0,31,0,Forest Hills Station - Mattapan Station,,1,503100000,63361684,0
31-_-1,31,1,Mattapan Station - Forest Hills Station,,1,503101000,63361776,0
32-1-0,32,0,Forest Hills Station - Wolcott Square,,1,503200000,63362029,0
32-_-0,32,0,Forest Hills Station - Cleary Square,Weekdays only,2,503200040,63362059,0
32-1-1,32,1,Wolcott Square - Forest Hills Station,,1,503201000,63362028,0
32-_-1,32,1,Cleary Square - Forest Hills Station,Weekdays only,2,503201040,63362060,0
3233-5-0,3233,0,Forest Hills Station - River St & Milton St,Early mornings only,1,503210000,63361596,0
33-5-0,33,0,Mattapan Station - River St & Milton St via West Milton St (AM Route),,1,503300000,63361553,0
33-6-0,33,0,Mattapan Station - River St & Milton St (PM Route),Weekdays only,1,503300040,63361552,0
33-1-0,33,0,Mattapan Station - River St & Milton St via Westinghouse Plz,AM peak hours only,3,503300070,63361578,0
33-5-1,33,1,River St & Milton St - Mattapan Station (AM Route),,1,503301000,63361576,0
33-6-1,33,1,River St & Milton St - Mattapan Station via West Milton St (PM Route),Weekdays only,2,503301040,63361549,0
33-1-1,33,1,River St & Milton St - Mattapan Station via Westinghouse Plz,Weekdays only,3,503301070,63361641,0
33-7-1,33,1,River St & Milton St - Forest Hills Station via W Milton St,Weekday evenings only,3,503301090,63361572,0
33-4-1,33,1,River St & Milton St - Forest Hills Station,Evenings only,3,503301110,62502879,0
34-3-0,34,0,Forest Hills Station - Dedham Mall,,1,503400000,63362311,0
34-_-0,34,0,Forest Hills Station - Dedham Line,,3,503400040,63362333,0
34-3-1,34,1,Dedham Mall - Forest Hills Station,,1,503401000,63362316,0
34-_-1,34,1,Dedham Line - Forest Hills Station,,3,503401040,63362332,0
34E-4-0,34E,0,Forest Hills Station - Walpole Center,,1,503410000,63362325,0
34E-6-0,34E,0,Forest Hills Station - East Walpole,,2,503410040,63362357,0
34E-1-1,34E,1,Walpole Center - Forest Hills Station,,1,503411000,63362324,0
34E-6-1,34E,1,East Walpole - Forest Hills Station,,2,503411040,63362358,0
35-1-0,35,0,Forest Hills Station - Dedham Mall,,1,503500000,63360999,0
35-_-0,35,0,Forest Hills Station - Stimson St & Washington St,Mornings only,2,503500040,63361025,0
35-1-1,35,1,Dedham Mall - Forest Hills Station,,1,503501000,63361013,0
35-_-1,35,1,Stimson St & Washington St - Forest Hills Station,,2,503501040,63361016,0
36-8-0,36,0,"Forest Hills Station - VA Hospital, West Roxbury",,1,503600000,63361021,0
36-1-0,36,0,Forest Hills Station - Millennium Park,Weekdays only,2,503600040,63361086,0
36-5-0,36,0,Forest Hills Station - Millennium Park,Weekdays only,3,503600070,63360976,0
36-8-1,36,1,"VA Hospital, West Roxbury - Forest Hills Station",,1,503601000,63361015,0
36-1-1,36,1,Millennium Park - Forest Hills Station,Weekdays only,2,503601040,63361010,0
36-5-1,36,1,Millennium Park - Forest Hills Station,Weekday evenings only,3,503601070,63361050,0
37-_-0,37,0,Forest Hills Station - Baker St & Vermont St,,1,503700000,63361211,0
37-_-1,37,1,Baker St & Vermont St - Forest Hills Station,,1,503701000,63360975,0
38-_-0,38,0,Forest Hills Station - Wren St,,1,503800000,63361320,0
38-_-1,38,1,Wren St - Forest Hills Station,,1,503801000,63361348,0
39-3-0,39,0,Back Bay Station - Forest Hills Station,,1,503900000,63480583,0
39-M-0,39,0,Haymarket Station - Cleary Square (Detour),Early mornings only,3,503900040,63360757,0
39-3-1,39,1,Forest Hills Station - Back Bay Station,,1,503901000,63480584,0
39-M-1,39,1,Cleary Square - Haymarket Station (Detour),Early mornings only,3,503901040,63360756,0
40-_-0,40,0,Forest Hills Station - Georgetowne via Alwin St (PM Route),,1,504000000,63361118,0
40-2-0,40,0,Forest Hills Station - Georgetowne (AM Route),Weekdays only,1,504000040,63361119,0
40-_-1,40,1,Georgetowne - Forest Hills Station (PM Route),,1,504001000,63361120,0
40-2-1,40,1,Georgetowne - Forest Hills Station via Alwin St (AM Route),Weekdays only,1,504001040,63361137,0
4050-5-0,4050,0,Forest Hills Station - Cleary Square via Georgetowne,,1,504010000,63361159,0
4050-5-1,4050,1,Cleary Square - Forest Hills Station via Metropolitan Ave,,1,504011000,63361136,0
41-_-0,41,0,JFK/UMass Station - Centre St & Eliot St,,1,504100000,63361941,0
41-_-1,41,1,Centre St & Eliot St - JFK/UMass Station,,1,504101000,63361960,0
42-1-0,42,0,Nubian Station - Forest Hills Station,,1,504200000,63360818,0
42-1-1,42,1,Forest Hills Station - Nubian Station,,1,504201000,63360817,0
43-_-0,43,0,Park St Station - Ruggles Station,,1,504300000,63071926,0
43-_-1,43,1,Ruggles Station - Park St Station,,1,504301000,63072186,0
44-1-0,44,0,Ruggles Station - Jackson Square Station,,1,504400000,63076017,0
44-1-1,44,1,Jackson Square Station - Ruggles Station,,1,504401000,63075646,0
45-_-0,45,0,Ruggles Station - Franklin Park,Weekdays only,1,504500000,63071946,0
45-3-0,45,0,Ruggles Station - Franklin Park via Eliot Square,,2,504500030,63072221,0
45-1-0,45,0,Ruggles Station - Ashmont Station,Late nights only,3,504500060,63072293,0
45-_-1,45,1,Franklin Park - Ruggles Station via Eliot Square,,1,504501000,63071459,0
47-8-0,47,0,"Broadway Station - Central Square, Cambridge",,1,504700000,63073478,0
47-8-1,47,1,"Central Square, Cambridge - Broadway Station",,1,504701000,63073479,0
50-_-0,50,0,Forest Hills Station - Cleary Square,,1,505000000,63360982,0
50-_-1,50,1,Cleary Square - Forest Hills Station,,1,505001000,63360986,0
51-_-0,51,0,Forest Hills Station - Reservoir Station,,1,505100000,63361177,0
51-_-1,51,1,Reservoir Station - Forest Hills Station,,1,505101000,63361178,0
52-5-0,52,0,Watertown - Dedham Mall via Meadowbrook Rd,Weekdays only,1,505200000,63361999,0
52-4-0,52,0,Watertown - Charles River Loop via Meadowbrook Rd,AM peak hours only,2,505200030,63362011,0
52-5-1,52,1,Dedham Mall - Watertown via Meadowbrook Rd,Weekdays only,1,505201000,63362000,0
52-4-1,52,1,Charles River Loop - Watertown via Meadowbrook Rd,Weekdays only,2,505201020,63362010,0
55-_-0,55,0,Copley Square - West Fenway,Middays only,1,505500000,63073106,0
55-_-1,55,1,West Fenway - Copley Square,,1,505501000,63073149,0
57-_-0,57,0,Kenmore Station - Watertown Yard,,1,505700000,63076877,0
57-M-0,57,0,Haymarket Station - Watertown Yard (Detour),Early mornings only,3,505700040,63076429,0
57-_-1,57,1,Watertown Yard - Kenmore Station,,1,505701000,63076779,0
57-M-1,57,1,Watertown Yard - Haymarket Station (Detour),Early mornings only,3,505701040,63076428,0
59-2-0,59,0,Watertown Square - Needham Junction,,1,505900000,63076368,0
59-_-0,59,0,Watertown Square - Needham Junction via Eliot St,Weekdays only,3,505900040,63076453,0
59-2-1,59,1,Needham Junction - Watertown Square,,1,505901000,63076370,0
59-_-1,59,1,Needham Junction - Watertown Square via Eliot St,Weekdays only,2,505901040,63076395,0
60-_-0,60,0,Kenmore Station - Chestnut Hill,,1,506000000,63077286,0
60-2-0,60,0,Kenmore Station - Boylston St & Tully St via Chestnut Hill,Weekdays only,2,506000040,63071782,0
60-4-0,60,0,Brookline Village - Boylston St & Tully St,Weekday early mornings only,3,506000070,63073387,0
60-3-0,60,0,Brookline Village - Chestnut Hill,Early mornings only,3,506000090,62820840,0
60-_-1,60,1,Chestnut Hill - Kenmore Station,,1,506001000,63077288,0
60-2-1,60,1,Boylston St & Tully St - Kenmore Station,Weekdays only,2,506001040,63070829,0
60-3-1,60,1,Chestnut Hill - Brookline Village,Late nights only,3,506001070,63070863,0
61-_-0,61,0,Waltham Center - North Waltham,,1,506100000,63158497,0
61-_-1,61,1,North Waltham - Waltham Center,,1,506101000,63158490,0
62-3-0,62,0,Alewife Station - Bedford VA Hospital,Weekdays only,1,506200000,63157533,0
62-3-1,62,1,Bedford VA Hospital - Alewife Station,Weekdays only,1,506201000,63157530,0
627-6-0,627,0,Alewife Station - Bedford VA Hospital,Weekdays only,1,506210000,63157547,0
627-7-0,627,0,Alewife Station - Bedford VA Hospital via Hanscom Airport,,2,506210030,63157572,0
627-7-1,627,1,Bedford VA Hospital - Alewife Station via Hanscom Airport,,1,506211000,63157558,0
627-6-1,627,1,Bedford VA Hospital - Alewife Station,Weekdays only,2,506211030,63157545,0
64-6-0,64,0,Kendall/MIT Station - Oak Square,Weekdays only,1,506400000,63158405,0
64-_-0,64,0,University Park - Oak Square,,2,506400030,63164552,0
64-3-0,64,0,"Central Square, Cambridge - Oak Square",Late nights only,3,506400050,63164564,0
64-6-1,64,1,Oak Square - Kendall/MIT Station,Weekdays only,1,506401000,63158406,0
64-_-1,64,1,Oak Square - University Park,,2,506401030,63164554,0
65-_-0,65,0,Kenmore Station - Brighton Center,,1,506500000,63075715,0
65-_-1,65,1,Brighton Center - Kenmore Station,,1,506501000,63074761,0
66-6-0,66,0,Nubian Station - Harvard Square,,1,506600000,63075076,0
66-6-1,66,1,Harvard Square - Nubian Station,,1,506601000,63075429,0
67-4-0,67,0,Alewife Station - Turkey Hill,Weekdays only,1,506700000,63156978,0
67-4-1,67,1,Turkey Hill - Alewife Station,Weekdays only,1,506701000,63156980,0
68-_-0,68,0,Kendall/MIT Station - Harvard Square,Weekdays only,1,506800000,63157029,0
68-_-1,68,1,Harvard Square - Kendall/MIT Station,Weekdays only,1,506801000,63157035,0
69-_-0,69,0,Lechmere Station - Harvard Square,,1,506900000,63158086,0
69-_-1,69,1,Harvard Square - Lechmere Station,,1,506901000,63158081,0
70-6-0,70,0,University Park - Market Place Dr,,1,507000000,63158475,0
70-8-0,70,0,University Park - Waltham Center,,2,507000040,63158476,0
70-5-0,70,0,University Park - Cedarwood,Weekdays only,3,507000080,63158485,0
70-2-0,70,0,"Central Square, Cambridge - Watertown Square",Late nights only,3,507000110,63158479,0
70-6-1,70,1,Market Place Dr - University Park,,1,507001000,63158477,0
70-8-1,70,1,Waltham Center - University Park,,2,507001040,63158496,0
70-5-1,70,1,Cedarwood - University Park,Weekdays only,3,507001080,63158484,0
70-3-1,70,1,"Waltham Center - Central Square, Cambridge",Late nights only,3,507001110,63158480,0
71-2-0,71,0,"Harvard Station, Upper Busway - Watertown Square",,1,507100000,63157189,0
71-3-0,71,0,Harvard Square - Aberdeen Ave,AM peak hours only,3,507100040,63158817,0
71-5-1,71,1,Watertown Square - Harvard Station (Omits Cambridge Common),,1,507101000,63157195,0
71-1-1,71,1,Watertown Square - Harvard Station (Omits Cambridge Common),Weekdays only,2,507101040,63157197,0
71-3-1,71,1,Aberdeen Ave - Harvard Square,Weekdays only,3,507101060,63158764,0
73-2-0,73,0,"Harvard Station, Upper Busway - Waverley Square",,1,507300000,63157191,0
73-5-1,73,1,Waverley Square - Harvard Station (Omits Cambridge Common),,1,507301000,63157188,0
73-1-1,73,1,Waverley Square - Harvard Station (Omits Cambridge Common),Weekdays only,2,507301040,63157241,0
74-1-0,74,0,Harvard Station - Belmont Center,,1,507400000,63158714,0
74-1-1,74,1,Belmont Center - Harvard Station,,1,507401000,63158703,0
75-1-0,75,0,Harvard Station - Belmont Center,,1,507500000,63158702,0
75-2-0,75,0,Harvard Station - Aberdeen Ave,Weekdays only,2,507500040,63158757,0
75-1-1,75,1,Belmont Center - Harvard Station,,1,507501000,63158716,0
75-2-1,75,1,Aberdeen Ave - Harvard Station,AM peak hours only,2,507501040,63158820,0
76-_-0,76,0,Alewife Station - Lincoln Lab via Hanscom Civil Air Terminal,Weekdays only,1,507600000,63157531,0
76-3-0,76,0,Alewife Station - Lincoln Lab,Weekdays only,2,507600030,63157556,0
76-3-1,76,1,Lincoln Lab - Alewife Station via Hanscom Civil Air Terminal,Weekdays only,1,507601000,63157555,0
76-_-1,76,1,Lincoln Lab - Alewife Station,Weekdays only,1,507601020,63157532,0
77-_-0,77,0,Harvard Station - Arlington Heights,,1,507700000,63158187,0
77-_-1,77,1,Arlington Heights - Harvard Station,,1,507701000,63158192,0
78-1-0,78,0,Harvard Station - Arlmont Village,,1,507800000,63158682,0
78-1-1,78,1,Arlmont Village - Harvard Station,,1,507801000,63158684,0
80-_-0,80,0,Lechmere Station - Arlington Center,,1,508000000,63157807,0
80-_-1,80,1,Arlington Center - Lechmere Station,,1,508001000,63157809,0
83-1-0,83,0,"Central Square, Cambridge - Rindge Ave",,1,508300000,63157863,0
83-1-1,83,1,"Rindge Ave - Central Square, Cambridge",,1,508301000,63157869,0
85-1-0,85,0,Main St @ Kendall Station - Red Line - 51 Bow St,Weekdays only,1,508500000,63158029,0
85-1-1,85,1,51 Bow St - Main St @ Kendall Station - Red Line,Weekdays only,1,508501000,63158031,0
86-_-0,86,0,Reservoir Station - Sullivan Square Station,,1,508600000,63157068,0
86-_-1,86,1,Sullivan Square Station - Reservoir Station,,1,508601000,63157064,0
87-2-0,87,0,Lechmere Station - Arlington Center,,1,508700000,63157603,0
87-_-0,87,0,Lechmere Station - Clarendon Hill,,2,508700040,63157605,0
87-2-1,87,1,Arlington Center - Lechmere Station,,1,508701000,63157604,0
87-_-1,87,1,Clarendon Hill - Lechmere Station,,2,508701040,63157696,0
88-_-0,88,0,Lechmere Station - Clarendon Hill,,1,508800000,63157607,0
88-_-1,88,1,Clarendon Hill - Lechmere Station,,1,508801000,63157606,0
89-2-0,89,0,Sullivan Square Station - Davis Station,,1,508900000,63100983,0
89-_-0,89,0,Sullivan Square Station - Clarendon Hill,Weekdays only,2,508900040,63100723,0
89-2-1,89,1,Davis Station - Sullivan Square Station,,1,508901000,63101009,0
89-_-1,89,1,Clarendon Hill - Sullivan Square Station,Weekdays only,2,508901040,63100712,0
8993-_-0,8993,0,Haymarket Station - Clarendon Hill,Sunday early mornings only,1,508910000,63092355,0
8993-_-1,8993,1,Clarendon Hill - Haymarket Station,Early mornings only,1,508911000,63256408,0
90-_-0,90,0,Assembly Row - Davis Station,,1,509000000,63256286,0
90-_-1,90,1,Davis Station - Assembly Row,,1,509001000,63256350,0
91-_-0,91,0,"Central Square, Cambridge - Sullivan Square Station",,1,509100000,63100662,0
91-_-1,91,1,"Sullivan Square Station - Central Square, Cambridge",,1,509101000,63100661,0
92-3-0,92,0,Downtown - Sullivan Square Station (Detour),,1,509200000,63101126,0
92-_-0,92,0,Haymarket Station - Sullivan Square Station,,3,509200040,63256409,0
92-4-1,92,1,Sullivan Square - Devonshire St @ Milk St,,1,509201000,63101180,0
92-_-1,92,1,Sullivan Square Station - Haymarket Station,,3,509201040,63256906,0
93-2-0,93,0,Downtown - Sullivan Square Station via Navy Yard,Weekdays only,1,509300000,63256621,0
93-1-0,93,0,Downtown - Sullivan Square Station,,1,509300030,63101121,0
93-_-0,93,0,Haymarket Station - Sullivan Square Station,,2,509300070,63256410,0
93-6-1,93,1,Sullivan Square Station - Downtown via Navy Yard (Detour),Weekdays only,1,509301000,63256717,0
93-5-1,93,1,Sullivan Square Station - Downtown (Detour),,1,509301030,63101166,0
93-_-1,93,1,Sullivan Square Station - Haymarket Station,,2,509301070,63256911,0
94-1-0,94,0,Davis Station - Medford Square,,1,509400000,63100705,0
94-1-1,94,1,Medford Square - Davis Station,,1,509401000,63100914,0
95-3-0,95,0,Sullivan Square Station - Arlington Center,,1,509500000,63100683,0
95-_-0,95,0,Sullivan Square Station - West Medford,,1,509500040,63100690,0
95-2-0,95,0,Fellsway Garage - West Medford,Weekday early mornings only,3,509500080,63101025,0
95-3-1,95,1,Arlington Center - Sullivan Square Station,,1,509501000,63100684,0
95-_-1,95,1,West Medford - Sullivan Square Station,,1,509501040,63100688,0
96-_-0,96,0,Harvard Station - Medford Square,,1,509600000,63101026,0
96-_-1,96,1,Medford Square - Harvard Station,,1,509601000,63100979,0
97-5-0,97,0,Wellington Station - Malden Center Station,,1,509700000,63100666,0
97-5-1,97,1,Malden Center Station - Wellington Station,,1,509701000,63100665,0
99-7-0,99,0,Wellington Station - Woodland Rd,,1,509900000,63100669,0
99-8-0,99,0,Wellington Station - Woodland Rd via Gateway Center,,3,509900040,63096331,0
99-7-1,99,1,Woodland Rd - Wellington Station,,1,509901000,63100674,0
99-8-1,99,1,Woodland Rd - Wellington Station via Gateway Center,,3,509901040,63096332,0
100-3-0,100,0,Wellington Station - Elm St,,1,510000000,63100700,0
100-1-0,100,0,Wellington Station - Roosevelt Circle,Evenings only,3,510000040,63096500,0
100-3-1,100,1,Elm St - Wellington Station,,1,510001000,63100701,0
100-1-1,100,1,Roosevelt Circle - Wellington Station,Evenings only,3,510001040,63096499,0
101-3-0,101,0,Sullivan Square Station - Malden Center Station,,1,510100000,63100681,0
101-3-1,101,1,Malden Center Station - Sullivan Square Station,,1,510101000,63100699,0
104-_-0,104,0,Sullivan Square Station - Malden Center Station via Ferry,,1,510400000,63256700,0
104-_-1,104,1,Malden Center Station - Sullivan Square Station via Ferry,,1,510401000,63256514,0
105-1-0,105,0,Sullivan Square Station - Malden Center Station,,1,510500000,63100707,0
105-1-1,105,1,Malden Center Station - Sullivan Square Station,,1,510501000,63100682,0
106-_-0,106,0,Wellington Station - Lebanon Loop,,1,510600000,63100794,0
106-4-0,106,0,Malden Center Station - Lebanon Loop,Evenings only,3,510600040,63256615,0
106-3-1,106,1,Lebanon Loop - Wellington Station via Sylvan St,,1,510601000,63100796,0
106-4-1,106,1,Lebanon Loop - Malden Center Station,Evenings only,3,510601040,63097013,0
106-_-1,106,1,Lebanon Loop - Wellington Station,Weekday evenings only,3,510601060,63256431,0
108-6-0,108,0,Wellington Station - Linden Square,,1,510800000,63100793,0
108-6-1,108,1,Linden Square - Wellington Station,,1,510801000,63100808,0
108-7-1,108,1,Linden Square - Malden Center Station,Weekdays only,3,510801040,63100816,0
109-_-0,109,0,Sullivan Square Station - Linden Square,,1,510900000,63256704,0
109-_-1,109,1,Linden Square - Sullivan Square Station,,1,510901000,63256437,0
110-_-0,110,0,Wellington Station - Wonderland Station via Woodlawn,,1,511000000,63100912,0
110-4-0,110,0,Wellington Station - Broadway & Park Ave via Woodlawn,,2,511000040,63100921,0
110-2-0,110,0,Wellington Station - Woodlawn via Broadway,Late nights only,3,511000080,63257050,0
110-_-1,110,1,Wonderland Station - Wellington Station via Woodlawn,,1,511001000,63100918,0
110-4-1,110,1,Broadway & Park Ave - Wellington Station via Woodlawn,,2,511001040,63100911,0
111-5-0,111,0,Haymarket Station - Woodlawn,,1,511100000,63257363,0
111-5-1,111,1,Woodlawn - Haymarket Station,,1,511101000,63257152,0
112-_-0,112,0,Wood Island Station - Wellington Station via Mystic Mall,,1,511200000,63101279,0
112-_-1,112,1,Wellington Station - Wood Island Station via Mystic Mall,,1,511201000,63101280,0
114-1-0,114,0,Maverick Station - Mystic Mall,Weekdays only,1,511400000,63473039,0
